Course,Status,Title,Author,Edition,ISBN,Year,URL,Edition Library Owns,Publisher,
AFCP,Recommended,Thieme Test Prep for the USMLE: Clinical Anatomy Q &amp; A,Hankin,,978-1626234215,2019,,,,
AFCP,Required,Atlas of Clinical Gross Anatomy,Moses,2nd,978-0323077798,2013,https://huaryu.kl.oakland.edu/login?url=https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20110698266,,,
AFCP,Recommended,Gray&apos;s Surface Anatomy and Ultrasound: A Foundation for Clinical Practice,Smith,,978-0702070181,2018,https://huaryu.kl.oakland.edu/login?url=http://web.b.ebscohost.com.huaryu.kl.oakland.edu/ehost/detail/detail?vid=0&sid=9b588e0b-6d9a-492c-a71e-0ec1991172c1%40pdc-v-sessmgr03&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=1903091&db=nlebk,,,
AFCP,Recommended,Atlas of Anatomy,Gilroy,4th,978-1684202034,2020,https://huaryu.kl.oakland.edu/login?url=https://medone-education-thieme-com.huaryu.kl.oakland.edu/ebooks/cs_11592119#/ebook_cs_11592119_cs186
AFCP,Recommended,Anatomy: A Photographic Atlas,Rohen,8th,978-1451193183,2015,,,,
AFCP,Required,Essentials of Radiology,Mettler,4th,978-0323508872,2019,https://huaryu.kl.oakland.edu/login?url=https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20160009932,,,
AFCP,Recommended,Gray&apos;s Clinical Photographic Dissector of the Human Body,Loukas,2nd,978-0323544177,2019,https://huaryu.kl.oakland.edu/login?url=https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20160031698,,,
AFCP,Recommended,Gray's Anatomy Review,Loukas,2nd,978-0323277884,2016,https://huaryu.kl.oakland.edu/login?url=https://ebookcentral.proquest.com/lib/oakland/detail.action?docID=2072030,,,
AFCP,Recommended,Lippincott's Illustrated Q & A Review of Anatomy & Embryology,Lambert,1st,978-1605473154,2011,,,Wolters Kluwer Health/Lippincott Williams & Wilkins,
AFCP,Recommended,Moore's Essential Clinical Anatomy,Agur,6th,978-1496369659,2019,,,,
AFCP,Recommended,Netter's Clinical Anatomy,Hansen,4th,978-0323531887,2019,https://huaryu.kl.oakland.edu/login?url=https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20160013372,,,
AFCP,Required,Clinically Oriented Anatomy,Moore,8th,978-1496347213,2018,https://huaryu.kl.oakland.edu/login?url=https://meded.lwwhealthlibrary.com/book.aspx?bookid=2212,,,
AFCP,Required,Junqueira's Basic Histology Text and Atlas,Mescher,15th,978-1260026177,2018,https://huaryu.kl.oakland.edu/login?url=https://accessmedicine.mhmedical.com/book.aspx?bookid=2430,,,
AFCP,Required,Langman's Medical Embryology,Sadler,14th,978-1496383907,2019,https://huaryu.kl.oakland.edu/login?url=https://meded.lwwhealthlibrary.com/book.aspx?bookid=2487,14th,Wolters Kluwer,
AFCP,Recommended,Atlas of Human Anatomy,Netter,7th,978-0323393225,2019,https://huaryu.kl.oakland.edu/login?url=https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20140050319,,,
APM12,Required,Bates' Guide to Physical Examination and History Taking,Bickley,12th,978-1469893419,2017,https://huaryu.kl.oakland.edu/login?url=https://meded.lwwhealthlibrary.com/book.aspx?bookid=1876,,,
BFCP,Recommended,Essential Cell Biology,Alberts,5th,978-0393680393,2019,,,Garland Science,
